Year,Malaysia,Indonesia,Thailand,Vietnam,Philippines,Cambodia,Myanmar,Brunei Darussalam
2000,5.419703075,1.310938133,2.678777546,0.648189364,0.922837864,0.161979186,0.207308867,14.12857939
2001,5.498931996,1.391237665,2.808749463,0.710648707,0.882362848,0.174466405,0.181502371,13.81900994
2002,5.64888519,1.388514514,2.967397137,0.824577094,0.876627897,0.176002141,0.179456943,13.29666756
2003,5.821076338,1.496673475,3.020757876,0.870242185,0.88183504,0.18597544,0.223479126,15.57852815
2004,6.230942287,1.510301505,3.26804608,1.033295251,0.883116735,0.182677645,0.216910373,14.15687134
2005,6.440996321,1.495368915,3.374235962,1.110972727,0.883249431,0.200617774,0.227478687,13.61076798
2006,6.549858347,1.572351362,3.388047487,1.130049624,0.788442016,0.219843344,0.209154939,20.17338684
2007,6.993229591,1.617812178,3.470192492,1.240379726,0.817880458,0.266918395,0.216851268,18.86003358
2008,7.318407813,1.580832415,3.473931644,1.373701986,0.822328628,0.290844275,0.163014237,20.57503484
2009,6.431278592,1.622875724,3.315705418,1.529666152,0.821133982,0.335199714,0.150382011,20.17442501
2010,6.959707228,1.702905979,3.526681931,1.732201659,0.865602879,0.357906398,0.164631248,18.10565758
2011,6.935319956,1.925542224,3.477784925,1.765420021,0.856822589,0.368035016,0.174575428,18.26298984
2012,6.925634921,1.925450048,3.705856454,1.741550848,0.878944848,0.383718005,0.23824039,17.95103213
2013,7.402951013,1.770402032,3.80405746,1.820112056,0.957913716,0.38251475,0.26837013,17.5097522
2014,7.719435953,1.891427827,3.736041694,1.980575457,1.00490795,0.456727604,0.333541952,16.99315502
2015,7.603420444,1.887564481,3.824676098,2.185814559,1.077253514,0.546949079,0.36970746,15.18067944
2016,7.348421251,1.848303852,3.794470231,2.384159513,1.152751307,0.708268457,0.421272122,16.35821162
2017,7.039825673,1.948574431,3.767896681,2.444644781,1.250314542,0.799744092,0.6214961,16.9430784
2018,7.452371382,2.126836838,3.718427852,3.014711266,1.28139073,0.845896953,0.622498221,17.36231043
2019,7.464999716,2.245285771,3.849043757,3.567848369,1.32152779,1.116330426,0.640928811,16.11193294
2020,7.383715412,2.071658962,3.714255806,3.676440088,1.189679452,1.137583659,0.634080348,21.70581244
